id,alpha,beta,gamma,H,theta,expected_loss,unexpected_loss1,unexpected_loss2
0,0.017612140704913393,2.408201474459661,0.008487133192162667,0.001,0.25857485311752804,1017687237.1302307,1406893532.896296,1619886923.009959
1,0.04819544714759401,3.661338250597314,0.0053171669632631376,0.348836048702027,0.001,1319880791.326861,3594059207.7205915,5135551629.800209
2,0.03043855711987232,0.001,0.001,0.07061702067361256,0.30278369598848004,1016378354.1442806,1389360117.4836311,1546656588.5901952
3,0.02216436234117547,0.001,0.010399057925489107,0.8458458408072738,0.16643309732753697,1069321459.6633621,2185769230.549322,3100750025.3439803
4,0.029530301113969343,0.901640814782011,0.005773404953009166,0.4588824166372105,0.11295030097401403,1155390262.3059354,2477471118.648467,3670882194.7898636
5,0.0737806119545241,3.4093840742908217,0.004343031083938511,0.38132767677546975,0.08959539228707167,1278570200.4816103,3366684209.4802437,4994299153.673197
6,0.024587946850315116,3.178791569121564,0.0035849380562275874,0.09105510774008119,0.04963267197095646,1050537080.7361792,1661386060.2308383,2078060048.9761167
7,0.017194185111648556,0.001,0.009882617843901766,0.001,0.2506067815271984,1016098396.5238727,1412877969.920188,1655737847.442685
8,0.048354740346784414,1.9255782791632907,0.007161055781748904,0.43196822532131074,0.22247603767565016,1257437036.9272535,3328930792.4945827,4978194265.234316
9,0.018299911986759412,2.6209111046205846,0.0184384778859787,0.4926189573068225,0.001,1434650467.1109793,4379471594.979321,5947531238.995981
10,0.026473240028717995,1.3443576604168959,0.005313308148408139,0.6127793024874987,0.3103595409660166,1290697268.2762477,3617146729.515602,5188267370.250078
11,0.04180927485323206,0.001,1.801565099528689e-05,0.39628954924937776,0.2063576622701215,1048599204.2780368,1791372473.893353,2208827203.8336234
12,0.0051360976366065444,0.9818515718512291,0.0021268705784464746,0.14107951188989698,0.13905747615831118,1048620309.5021143,1601765084.6000223,1953164010.8543208
13,0.001,1.856476394964063,0.004466251382969378,0.38147612574258916,0.07802272546567722,1192718320.8758128,2812422582.997966,4145638904.801981
14,0.0024599319441115965,3.6798930726686576,0.003406068095687202,0.02804131839845342,0.14839986539373654,1027127399.283183,1431748064.6167233,1693362558.5587115
15,0.04420125746508567,1.8802087161116559,0.0051997678137134665,0.4197956227706621,0.05411692836500471,1153444391.6876879,2934844564.5379763,4231383723.774114
16,0.052048853613032645,2.0443522835411287,0.012378139904745785,0.0918469796472238,0.19720875502501026,1027003763.3502516,1510346569.7058523,1789845525.5480363
17,0.013809974535359617,1.506532780362311,0.0023944380249440334,0.10953777014166496,0.12723342017575054,1019859136.1770167,1509281026.4094076,1800597116.5641284
18,0.02857621972896013,2.550244653529046,0.004194452046596714,0.7457235088902148,0.001,1651622023.7734685,5341546924.684294,6491351273.627308
19,0.07965218640195441,0.9996062729153367,0.007553979411009639,0.6437054820505463,0.1578151516289297,1165738220.435053,2925832218.0276704,4344638477.50553
20,0.04371933122667064,0.001,0.004699750853018396,0.18781647700916693,0.18661279921918314,1032799691.608209,1484790791.778636,1821202732.686074
21,0.016194588090642035,0.49891978222594346,0.00301218784260143,0.3238654255292132,0.07718252113023442,1027681805.1019288,1692905979.1636705,2194252132.035694
22,0.035814287391056965,5.190686925060318,0.0041494403497990395,0.2699686073254558,0.03360092193855897,1320728023.3986616,3764916341.403058,4994155216.739676
23,0.001,3.4092495316939737,0.008755955680150737,0.001,0.01158806688320245,1020096510.5076207,1373539877.7095547,1560473595.2512085
24,0.020008329640657737,1.513037411062966,0.006371468597568227,0.29909703979071517,0.03502852857421074,1069443080.7794569,2085294447.0067892,2990859818.027717
25,0.03738568207099782,1.9312289685154842,0.001,0.38260044398719784,0.23444080308752313,1111346685.3507316,2500320505.5781775,4211333237.915356
26,0.05355642272145596,0.001,0.008538259983939103,0.001,0.1119907716693425,1016405887.8835053,1392716257.6939917,1612675412.4063253
27,0.010749665312131763,4.7057156599585,0.00263966939865965,0.6453453234701325,0.04123636262255395,2175959567.0140967,6245708461.823871,6967930631.5216255
28,0.03394432874872874,1.2238073076461586,0.001,0.734531499382125,0.12430611013714853,1243067215.8713667,3708010562.344851,5836246488.503757
29,0.030189365767366895,2.483050225066328,0.0014940279808139372,0.033901761935195895,0.11170891049768492,1026694121.2121865,1429224664.010148,1664215409.427755
30,0.0334528644837626,0.017669952606666373,0.005618373521480214,0.27528956530408005,0.20841669922231842,1027312149.2527881,1601167158.2945466,1899987950.470777
31,0.001,0.32103072653193365,0.004142499693549102,0.46404678804738986,0.09713501742049709,1075805791.079655,1990680357.5741396,2739676851.4414353
32,0.001,0.001,0.0028120855383515515,0.33645297867920615,0.13216287929328893,1024582377.112862,1655078782.7121432,2091909872.3092093
33,0.02719639897597198,0.02176074867579203,0.007663913899507824,0.10954995002550072,0.07273889225557623,1023768514.8410099,1448923402.2264938,1752106341.971394
34,0.007563498502354193,0.001,0.007886596691920763,0.41728849264201384,0.17848427973979036,1034683630.671044,1735678883.1523533,2276854943.521063
35,0.007015111287086229,0.679705539217367,0.01222859313804419,0.20063185191913724,0.10394840570193675,1042154455.9168754,1596457017.3733883,1939037703.6608267
36,0.047251898118951155,3.1673943272108236,0.0060859556076578334,0.12028643689719484,0.03268316861378365,1055049112.6012257,1693369719.371531,2329053757.3210096
37,0.029563655440378922,0.9651112290221764,0.001,0.7241423210133189,0.26055868157892037,1213592645.4709513,3035318464.4019465,4895201321.307865
38,0.008482574661723115,3.020306656545329,0.0025196050942582517,0.1646759359411189,0.001,1111145289.4585376,2081448055.8746607,3216450485.8915043
39,0.040823661121359676,3.952548675779068,0.0009425656345644863,0.017201772515145042,0.24145952441149543,1020221313.8379098,1418248829.0895483,1714477856.9192722
40,0.041356392827467954,0.001,0.009920137115926063,0.2757159478878008,0.1456348943073178,1032618904.2806523,1629458238.674451,2023110493.09356
41,0.032982001426764655,0.001,0.008254070389057589,0.001,0.001,1040156289.601108,1429735115.606854,1627346617.702551
42,0.010408814312408993,0.06394582654263647,0.001,0.8360912301695735,0.1333376890316327,1110302615.4902186,2438025014.3920827,3285514062.51674
43,0.031437776136668406,0.001,0.01448471928569708,0.665651018961422,0.001,1094715713.53204,2051493432.652751,2899810435.020338
44,0.02371214690253619,1.662501847838038,0.013871421157716203,0.4199689028869409,0.20041735798954874,1163661676.0919993,2771078018.228447,3967308310.8778105
45,0.022597818181141684,0.9074532886205299,0.008126692467341433,0.31126055909809336,0.02514370405757592,1053825518.621356,1877505629.986197,2631285504.2488117
46,0.028717878101402673,1.2550302781373772,0.0007566161293328195,0.4922101113804288,0.25059188316189984,1153718886.1798484,2614988468.0647655,3697497702.5889444
47,0.031428109633263125,1.8029065413589893,0.001,0.001,0.05983114963447752,1032626789.217087,1452500269.613538,1699250837.2657175
48,0.03999501429811536,2.475011617500298,0.007797808975447276,0.001,0.19420838012673122,1029417213.9792801,1423213741.5111861,1647243677.5554457
49,0.037963105386702695,0.7366646887216786,0.009744972750232764,0.6918664738295335,0.25739667063003324,1190455950.025184,2990193526.568182,4299504840.842226
50,0.006081671932319985,5.022003433857293,0.018427089277441848,0.22051793752205776,0.03875398737307974,1245087817.3805923,3367334497.2947397,4868412745.754181
51,0.001,3.728310679158139,0.00455561774409049,0.6969177068230697,0.19639257972100668,1857905745.510847,6117233930.975867,6759056704.075938
52,0.006592156457230816,0.001,0.008044924462905422,1.1448186445316675,0.11190156990514072,1105787553.2342086,2517838756.124404,3612118653.1750684
53,0.05192587057573955,0.8077555602661542,0.01085081090975196,0.001,0.08457456216167336,1019006728.4803324,1396715648.3696187,1605998598.5058331
54,0.022594455935764722,1.6153870505946748,0.001,0.001,0.06805817186931942,1044775191.5924846,1456926419.3158836,1766711834.4360046
55,0.001,1.8798771872374151,0.0012973728809620101,0.8859623590634467,0.22957529081839673,1583887809.9965897,5265323012.646003,6503691204.776468
56,0.024463866704289794,0.14626291597088037,0.012033991946655012,0.002315130086991357,0.001,1011937916.1605576,1419591820.4531026,1644773954.7058299
57,0.0016623205914415434,0.001,0.002829047806746448,0.37491542719068205,0.05682217776141246,1043992797.1876584,1707366560.5637302,2062744217.5396075
58,0.05815238292664626,1.78109722028295,0.006186716948418711,0.33499891851388924,0.1518110268013582,1073525572.0356153,2256922436.3370104,3365902387.2608204
59,0.00918336371417516,0.49993009350390194,0.0013834458794488762,0.4655690864011611,0.18641378601850056,1081224950.3644352,2202924062.974331,3124897015.099415
60,0.001,1.540939843115391,0.009349663540473768,0.2985135840275715,0.001,1113504764.4014926,2368089862.989181,3479211432.36861
61,0.005777615713274566,0.33221716550434666,0.003460984929738054,0.5369442809201111,0.001,1068791647.5122247,2063770489.8864892,2787644640.5031857
62,0.012439223828672945,1.8402015714732087,0.001,0.4998974764400252,0.10901293144859958,1226964372.8917422,3525718245.5231605,4782240031.545961
63,0.04783252429140697,2.972691826272712,0.002611491195794892,0.3197855276358845,0.019855498338629998,1242413886.8537045,3109009510.7210917,4633934334.18218
64,0.001,1.188713801291823,0.005169670678257876,0.31438165998906137,0.001,1117572385.0503538,2189303713.831689,3267592638.490802
65,0.03169602091650877,1.0844213362138873,0.00040608312727446333,0.405943387888613,0.08490554622552784,1077886734.8161788,2194229130.6430054,3261247376.3083367
66,0.016077651290025488,0.18819190981828915,0.00976887477581242,0.001,0.13692314049909712,1029560235.1867976,1435299216.8484266,1767201079.1630697
67,0.001,2.1482629238773896,0.0030363000230952475,0.549994002642922,0.08136523231651328,1469526398.0244431,4386991686.957975,5948435204.063055
68,0.04530098520304407,0.26874865391279634,0.001166056335070242,0.5575336260566974,0.12360432932219227,1083036078.3932402,2089101342.547231,2835015627.5183516
69,0.03469496253601823,2.2062533161618747,0.004174178892245594,0.42190752183080127,0.001,1240224257.290234,3489997994.525644,4944685880.885064
70,0.027499350524879475,2.030911251815642,0.001,0.001,0.06395638254879568,1022643142.3459225,1420420519.4163144,1646567437.8105845
71,0.001,1.583464769251728,0.001,0.18936709133455126,0.26004116911224684,1050451085.1324047,1810859971.7704663,2315389441.443589
72,0.011916910128629705,2.168157842416324,0.006391566756190767,0.3162669325021838,0.10255621812844615,1183870443.364258,2865943243.9087567,4158156037.6617837
73,0.045330002485929624,1.7364144512340272,0.009628024475164459,0.001,0.001,1021569978.92791,1385478176.6988242,1600181289.557785
74,0.017835374837375684,1.253068087492328,0.003083300480436331,0.702092336807139,0.0827166536380613,1365615835.47261,4143807998.1232905,5349323290.366175
75,0.009030598084349903,1.1227164417709963,0.0013204093532378424,0.4752115468111213,0.1770630327211572,1124568436.2836668,2738554453.3478975,4244475015.777358
76,0.007872659536660808,2.2576634238410804,0.001,0.5799076785491977,0.05172846070687009,1453976800.8648002,4488920506.900576,5854417589.397457
77,0.02662415479242871,1.3859967412508647,0.011985106648493206,0.13246037131004904,0.04584599309164311,1042206001.7697684,1615973814.8515136,1971705244.8263369
78,0.021940764603752657,0.9312670755523884,0.003977770714593843,0.9992394057005785,0.23917056610773207,1268546689.4526734,3828614172.691095,5001965378.007849
79,0.0001432860833290306,1.2836477939967659,0.005161878436832623,0.001,0.09057737800380965,1025045099.2423073,1443559208.4758277,1693745018.0295558
80,0.042827321594825066,1.1052645607010476,0.001,0.35185988764341625,0.08547102354784375,1069146302.1052791,2031823604.3242779,3350485418.8559365
81,0.020382584368288093,0.001,0.0040730435850926585,0.03668370812896882,0.24403784393309644,1029117316.6973422,1433233278.8289897,1715849775.9881773
82,0.04671313248025631,0.22680736821749048,0.004599644404932906,0.6510772035644796,0.17413790336900659,1094939227.4707055,2252451997.2646294,3311282017.108853
83,0.03135562820737136,2.058017133313509,0.003020948094472169,0.37837102556755375,0.03972719695730295,1205638660.590701,3227162688.316327,4488251947.224421
84,0.03884466153528137,0.5937144279592783,0.001,0.5364793239332365,0.06929217700646433,1123593771.5217428,2339184519.6224003,3537165664.610794
85,0.013200081032870032,3.662926265588711,0.005267970756959975,0.4327204521777319,0.22371041711291895,1435881147.9980676,4635439198.7052555,6114061116.567733
86,0.03351380638067813,0.2620137112493057,0.009630522315720026,0.37362870309147006,0.07151624280468678,1045558806.9526542,1743706335.8852224,2626563299.565963
87,0.0001988659773436291,0.001,0.002718009016792858,0.11347460142114665,0.011599926382983156,1028101233.8197579,1461900300.3152673,1757373202.8333302
88,0.008648921797980023,0.2942380435845844,0.00378633110941844,0.001,0.03974253297206089,1025529706.9744588,1404181448.409548,1612183906.6790903
89,0.007370696824252591,0.001,0.001,0.0921041684892476,0.1110508054938996,1026414674.4460328,1461034132.9070077,1769780530.2749448
90,0.008154839786254347,0.001,0.001,0.001,0.001,1019128702.9967328,1435676384.090736,1669697492.6128979
91,0.001,0.7349154441554568,0.0053095424664262245,0.0705087727982468,0.06627006619642878,1037373447.9454598,1446900057.6658683,1721531170.6429956
92,0.001,2.8596014292897824,0.011424893029902034,0.16256499487216144,0.12685529211414825,1079931553.8244016,1963501878.4122827,3055300731.2235327
93,0.03790523840220034,0.7871565938285341,0.0032013384123374304,0.5728190869928638,0.09162628177143126,1157206264.488447,2742890384.378408,3863093280.2296324
94,0.001,0.8756937961945656,0.0030348124426408506,0.5663479924270391,0.146905042756021,1144812571.1199887,2720703953.962817,4156683261.4201717
95,0.001,0.6726884038721206,0.010466305700735921,0.2919441115925124,0.06723440733790308,1075861485.7801318,1865773902.0063915,2409484528.6183205
96,0.03748727009192819,1.3545556881694905,0.0020036868036844343,0.6781109827988367,0.001,1275799148.9512563,3665163395.245207,5189493593.078576
97,0.001,4.28663762207411,0.005954129701216892,0.36202817399813364,0.34709106950625457,1426448418.583654,4597287407.3687,5740967614.837281
98,0.012550801400537596,3.5608621390209825,0.004315582534179175,0.30812509319065745,0.001,1319578734.5336623,3777015979.790259,5038457925.109112
99,0.02260130412492786,1.407384391678811,0.010905545516131808,0.5088196203971168,0.10558464716636941,1185205883.935731,3017009425.516027,4573664998.018535
100,0.0004386918226581306,3.5537952272283553,0.007161441919510292,0.13908085698573727,0.16771504789525266,1080073947.2048392,2059475100.56253,2862240067.4885607
101,0.048521412691171446,2.4712731244031207,0.0042526402751853105,0.35463017527653873,0.010178798852514825,1156400250.1647937,2823305813.351901,4054175054.9011936
102,0.029067234273263333,0.001,0.001,0.001,0.2921232954476091,1031027540.6567843,1434380197.1921625,1670510344.1427722
103,0.017189307472179283,0.9475929684866554,0.011644935156576192,0.001,0.3057705435432244,1014835052.4810808,1378536660.8859887,1626991195.8261461
104,0.04546933264815173,0.8889967597512161,0.00593338014672992,0.013483938344857505,0.04867468677512632,1021316289.1733336,1433145276.9980206,1654501990.2488756
105,0.030633426094870367,0.3545053306087229,0.009935114967775757,0.41437333307590707,0.08491477065321433,1075200036.168496,1976019934.3677883,2612822130.018981
106,0.016256774407257115,2.891745301019156,0.0083715881857196,0.001,0.2817822571798221,1017920667.5881417,1386280162.0374486,1665348178.9998312
107,0.021120142556127573,0.037767165740496544,0.0019247469164382055,0.001,0.12412674725472944,1027581724.5246838,1419552432.9838276,1658032091.0061195
108,0.001,2.859545087644652,0.0013009142413827916,0.14369590455258338,0.06525381450593873,1043003067.7410827,1832353968.0717874,2455417385.178324
109,0.06640968492917393,3.162171132517429,0.01778255946939501,0.001,0.19150885960523806,1018068695.9175042,1360564800.0149977,1550778454.5415409
110,0.034390168892016515,0.7415253531692192,0.0022122331422659383,0.6912624144770252,0.14913523669299358,1167863121.749022,2902271465.30953,4240589531.4354105
111,0.03945365568723847,3.845367290100257,0.0033998821810822264,0.49894701071600567,0.20675746290263355,1548575559.2053583,4896410564.691692,6055038166.454393
112,0.02270238388073917,2.2576813939819926,0.009695271757968308,0.6092825070105319,0.008724556924875643,1391506036.1994164,4351482660.283176,5498115239.247656
113,0.07323227021230105,1.6810724506922143,0.011954084877796794,0.7192239961971378,0.044538877136901224,1282455527.3621445,3764021655.3461275,5071285690.341144
114,0.0018550869165066992,0.001,0.0020485080202936705,0.42527785920900885,0.21020490570464537,1054039924.903922,1803720747.7641711,2464971677.123373
115,0.025157288170573316,2.068763705482999,0.001,0.001,0.20518852523244135,1017875379.2741543,1397836768.1703153,1622511197.8457727
116,0.026442570395887953,0.6661624668954376,0.006070422971060121,0.47926584865007077,0.13278184348185967,1121397387.1946793,2474789524.508306,3565421546.38315
117,0.001,3.0859970755806403,0.0011880106348978532,0.31884782596131594,0.20233804497526142,1269473197.4657857,3656336058.863613,4881646809.749854
118,0.030607902412055764,3.3967542350174433,0.011996754377492756,0.5770635089897727,0.07487210745381945,1595548587.8071663,5221943648.330059,6232998735.082329
119,0.029843418917661395,0.040133677569953674,0.01021718370845696,0.07289059277517215,0.07461034571278101,1032276179.1218488,1441215204.8973098,1714995632.5659556
120,0.01843324757134471,2.162675326384071,0.0006571750585643715,0.001,0.15581901318688224,1030340937.7748272,1445937417.9363341,1718665948.6690857
121,0.030320688766622503,1.031220289392748,0.001,0.5086014389494095,0.08423759362400088,1156897125.9860258,2756846867.359084,4035234014.909643
122,0.028402582374398088,2.5376829435037798,0.0025593785990856307,0.5487807305539039,0.10250720189509967,1522356386.4369326,4768839235.154359,6131013847.774952
123,0.017242337977309008,1.9935800871679459,0.012358645983150889,0.001,0.29515123023016576,1032144100.5753626,1415835431.758226,1614239730.6121318
124,0.001,0.6943796794579141,0.005385017397172224,0.4631719455572418,0.20428735796878206,1066893960.1225064,2180748443.0627756,3540335367.6517363
125,0.001,1.6019962074974774,0.012466488411645622,0.2989774430005092,0.18146359712280766,1111407659.8895354,2251793092.8985043,3193562271.1384745
126,0.015185599746859558,0.7425281151193751,0.011445100909497227,0.27111672609422904,0.1448008428930092,1044228236.8300698,1793922510.0922499,2545916052.9150043
127,0.02252925702101167,1.98632751952089,0.011478434648902957,0.1401856294236127,0.2768045007733637,1038516467.4327749,1668054729.574833,2062592208.2911625
128,0.032308831284885084,0.4427434901229583,0.0028292341531610653,0.2551023425258033,0.15346286069167986,1016606328.1595296,1589125030.8228137,2045284343.0164375
129,0.023381868509123504,0.001,0.008128264012216413,0.2703389989024432,0.001,1029282418.9206958,1574339994.5714016,1900412619.531021
130,0.001,1.1407207512709658,0.001,0.23287445605262538,0.23625016720502512,1054874110.3775755,1832141419.5508416,2604512037.0056343
131,0.028388027775484506,2.7183295281128084,0.001,0.1779169076393765,0.11806227573485176,1084510949.6787171,2012997902.618329,2874229735.979343
132,0.001,1.505238051115395,0.00822509777872113,0.35006666405384185,0.27360938553704867,1134939684.069091,2457867518.6973534,3951848060.406853
133,0.019874492573877828,0.7839036885990817,0.005151645178266591,0.11794997841490398,0.1803071055626964,1036792700.5236582,1535817341.9100184,1857234791.1917648
134,0.018711402698476244,0.001,0.004793683621736442,0.37798260565830005,0.001,1036012803.6196201,1696191126.8215303,2098958030.832457
135,0.015353286882664506,2.5667033349391772,0.012002392165725694,0.001,0.07866418113751313,1025330752.2215626,1395973713.4804153,1620758244.1166153
136,0.016896558907967367,1.4865831838585666,0.001,0.2242716741609544,0.15344258450277687,1074226187.020961,1922156629.6427333,2556590397.069909
137,0.046239790714354606,2.8062656305115117,0.006149412415495389,0.001,0.09053613124135702,1020764763.0526179,1436760393.2434697,1601631850.896645
138,0.04242937895142802,1.2488596029145687,0.00037992065200244656,0.20762139287001147,0.06034086680657056,1066042588.5055077,1850096587.3433857,2321374375.17029
139,0.03135850074940664,2.545111217871503,0.0037017624802055766,0.001,0.22970230609708756,1024245310.7954859,1430487089.139751,1592306175.1464272
140,0.004898930347404538,0.001,0.0037040140396251307,0.001,0.21858924431404858,1020889756.7297746,1398772942.670209,1656992353.4790025
141,0.030834825358083094,0.4916992603006225,0.0040529608765045265,0.0034075249298679,0.001,1017678498.1720924,1423257108.72358,1629989349.411727
142,0.023544927544138908,1.7168085318862485,0.001,0.3675602618257835,0.21300016666269314,1136838389.601253,2592715579.1824107,4330339366.492449
143,0.024532616294130064,0.2778178151511619,0.006732088368929227,0.8395126833325535,0.22947279545207297,1138067516.977447,2633671053.658164,4053677151.540884
144,0.041798474040689336,1.9500488440154284,0.0035944375817248643,0.3831324364288211,0.16040655582685076,1207920591.6641746,2936053277.7987623,4377891646.328238
145,0.001,2.023070935538637,0.001,0.5698510516421937,0.20772254385688355,1357859272.7119105,4310817139.420601,5692787605.566528
146,0.023729481881282356,1.8685869148758276,0.003071815791030631,0.16174244169403235,0.1349024346312083,1053413700.3095368,1750938823.1621957,2173624957.2664576
147,0.05576944268846891,1.7634684634271394,0.01356052640364062,0.001,0.13334462064295993,1035142808.5932356,1413929519.0996027,1587578173.129396
148,0.001,4.723548384815144,0.001,0.001,0.1280011105338141,1039251258.1350507,1439574591.967941,1658897019.9978123
149,0.020964738031756247,2.815259718316991,0.001,0.5829606448106037,0.21165145593960552,1501364826.886372,4897823784.6754875,6091202998.47844
150,0.0614382151763533,0.001,0.001,0.001,0.12652155943376397,1031820888.2716684,1417477308.9835484,1698171849.4600072
151,0.013224980572708978,3.688824267394531,0.005350534480428058,0.18631066498979715,0.001,1099146575.458022,2304458423.4476533,3201771461.6703796
152,0.05700653353751908,0.7164577612864196,0.008759722566717424,0.28616452822100796,0.21252686024457146,1030882400.6206422,1687385145.9923353,2351931965.9217525
153,0.046728794420345776,1.895795972675692,0.005230346525262327,0.5652711187243594,0.18185231096359147,1294402977.3232462,3906950807.7198925,5216391846.823162
154,0.0014488002552139369,0.5896592521778622,0.001,0.2995546808459552,0.14687920294267168,1050471841.9432362,1778501857.6019354,2362249479.8787394
155,0.002740708029136129,0.8687881731301932,0.001779175483952037,0.001,0.001,1021049629.9265065,1422842224.2513628,1628308933.0624313
156,0.001,0.9609006037767125,0.004897582060731096,0.6484247793484785,0.05948023151305408,1205049121.5512311,3078547702.1029687,4560268564.755571
157,0.022576385828260007,1.2893550990548737,0.001,0.001,0.20368415555399436,1034904131.8916594,1434673388.8492274,1605003623.6206799
158,0.02591170670056971,2.8293001403072204,0.0014002133115068672,0.48645481379891276,0.021536833688996213,1433605775.3555813,4385111268.138259,5916424619.871414
159,0.05597442893487753,0.8922743133457738,0.007914799990335484,0.001,0.18855391742308922,1014242460.63288,1401643128.5336556,1635465429.507772
160,0.0021333689045889073,0.4075232891215079,0.001,0.07664490877114077,0.0734720664806169,1043892154.0241268,1491528233.9027576,1763097160.638244
161,0.001,0.2810381192945961,0.007053611555899789,0.001,0.25849136883144297,1024644872.9482155,1421303428.2932477,1753562831.4882438
162,0.0022531403481395075,0.001,0.004563720375496102,0.48774769189464895,0.1852950006690673,1073431548.1833361,1865569714.6567218,2382281569.823121
163,0.0141351869561268,0.001,0.001,0.001,0.18314436140850193,1029393450.8280009,1403217246.510338,1727979559.426351
164,0.025129213993549816,3.2636981192637617,0.004077487457944513,0.37039897319462345,0.23376998166831828,1360465849.5706081,3973550801.4146357,5229831895.906914
165,0.03098765424152777,2.776025130066645,0.004631945646366607,0.7227847330684525,0.029661566700517464,1662614439.9315064,5237213007.931652,6190012174.156534
